#NBK_id	GR_shortname	OMIM
NBK1103	trimethylaminuria	136132
NBK1103	trimethylaminuria	602079
NBK1104	cdls	122470
NBK1104	cdls	300040
NBK1104	cdls	300269
NBK1104	cdls	300590
NBK1104	cdls	300882
NBK1104	cdls	606062
NBK1104	cdls	606462
NBK1104	cdls	608667
NBK1104	cdls	610759
NBK1104	cdls	614701
NBK1105	scan1	607198
NBK1105	scan1	607250
NBK1106	char	169100
NBK1106	char	601601
NBK1107	spg7	602783
NBK1107	spg7	607259
NBK1108	alps	134637
NBK1108	alps	134638
NBK1108	alps	601762
NBK1108	alps	601859
NBK1108	alps	603909
NBK1109	nf1	162200
NBK1109	nf1	613113
NBK1110	cdg-1a	212065
NBK1110	cdg-1a	601785
NBK1111	hos	142900
NBK1111	hos	601620
NBK1112	x-hed	129490
NBK1112	x-hed	224900
NBK1112	x-hed	300451
NBK1112	x-hed	305100
NBK1112	x-hed	604095
NBK1112	x-hed	606603
NBK1113	pxe	177850
NBK1113	pxe	264800
NBK1113	pxe	603234
NBK1114	weill-ms	134797
NBK1114	weill-ms	277600
NBK1114	weill-ms	602091
NBK1114	weill-ms	608328
NBK1114	weill-ms	608990
NBK1114	weill-ms	614819
NBK1115	rapid-odp	128235
NBK1115	rapid-odp	182350
NBK1117	charge	214800
NBK1117	charge	608892
NBK1118	ipex	300292
NBK1118	ipex	304790
NBK1119	dbmd	300376
NBK1119	dbmd	300377
NBK1119	dbmd	302045
NBK1119	dbmd	310200
NBK1120	taa	102620
NBK1120	taa	132900
NBK1120	taa	134797
NBK1120	taa	160745
NBK1120	taa	190181
NBK1120	taa	190182
NBK1120	taa	600922
NBK1120	taa	603109
NBK1120	taa	607086
NBK1120	taa	607087
NBK1120	taa	611788
NBK1120	taa	613780
NBK1121	hgps	150330
NBK1121	hgps	176670
NBK1122	pcd	244400
NBK1122	pcd	603335
NBK1122	pcd	603339
NBK1122	pcd	604366
NBK1122	pcd	605483
NBK1122	pcd	606763
NBK1122	pcd	607421
NBK1122	pcd	608644
NBK1122	pcd	608646
NBK1122	pcd	608647
NBK1122	pcd	610062
NBK1122	pcd	610812
NBK1122	pcd	610852
NBK1122	pcd	611884
NBK1122	pcd	612274
NBK1122	pcd	612444
NBK1122	pcd	612517
NBK1122	pcd	612518
NBK1122	pcd	612647
NBK1122	pcd	612648
NBK1122	pcd	612649
NBK1122	pcd	612650
NBK1122	pcd	613190
NBK1122	pcd	613193
NBK1122	pcd	613798
NBK1122	pcd	613799
NBK1122	pcd	613807
NBK1122	pcd	613808
NBK1122	pcd	614017
NBK1122	pcd	614566
NBK1122	pcd	614677
NBK1122	pcd	614679
NBK1122	pcd	614864
NBK1122	pcd	614874
NBK1122	pcd	614930
NBK1122	pcd	614935
NBK1123	edm-ad	120210
NBK1123	edm-ad	120260
NBK1123	edm-ad	120270
NBK1123	edm-ad	132400
NBK1123	edm-ad	600204
NBK1123	edm-ad	600310
NBK1123	edm-ad	600969
NBK1123	edm-ad	602109
NBK1123	edm-ad	607078
NBK1123	edm-ad	614135
NBK1124	noonan	163950
NBK1124	noonan	164757
NBK1124	noonan	164760
NBK1124	noonan	164790
NBK1124	noonan	176872
NBK1124	noonan	176876
NBK1124	noonan	182530
NBK1124	noonan	190070
NBK1124	noonan	609942
NBK1124	noonan	610733
NBK1124	noonan	611553
NBK1124	noonan	613224
NBK1124	noonan	613706
NBK1125	ebj	113811
NBK1125	ebj	150292
NBK1125	ebj	150310
NBK1125	ebj	226650
NBK1125	ebj	226700
NBK1125	ebj	600805
NBK1126	opmd	164300
NBK1126	opmd	602279
NBK1127	clcn7	166600
NBK1127	clcn7	602727
NBK1127	clcn7	611490
NBK1128	msx2	123101
NBK1128	msx2	168500
NBK1128	msx2	605420
NBK1128	msx2	609597
NBK1129	rws	152427
NBK1129	rws	176261
NBK1129	rws	192500
NBK1129	rws	600163
NBK1129	rws	600734
NBK1129	rws	601017
NBK1129	rws	601253
NBK1129	rws	603796
NBK1129	rws	603830
NBK1129	rws	604001
NBK1129	rws	607542
NBK1129	rws	608256
NBK1129	rws	611818
NBK1129	rws	611819
NBK1129	rws	611820
NBK1129	rws	612955
NBK1129	rws	613485
NBK1129	rws	613688
NBK1129	rws	613693
NBK1129	rws	613695
NBK1130	mld	250100
NBK1130	mld	607574
NBK1131	arvd	107970
NBK1131	arvd	125645
NBK1131	arvd	125647
NBK1131	arvd	125671
NBK1131	arvd	173325
NBK1131	arvd	180902
NBK1131	arvd	190230
NBK1131	arvd	600996
NBK1131	arvd	602086
NBK1131	arvd	602087
NBK1131	arvd	602861
NBK1131	arvd	604400
NBK1131	arvd	604401
NBK1131	arvd	607450
NBK1131	arvd	609040
NBK1131	arvd	609160
NBK1131	arvd	610193
NBK1131	arvd	610476
NBK1131	arvd	611528
NBK1131	arvd	612048
NBK1132	nail-ps	161200
NBK1132	nail-ps	602575
NBK1133	loeys-dietz	190181
NBK1133	loeys-dietz	190182
NBK1133	loeys-dietz	190220
NBK1133	loeys-dietz	603109
NBK1133	loeys-dietz	608967
NBK1133	loeys-dietz	609192
NBK1133	loeys-dietz	610168
NBK1133	loeys-dietz	610380
NBK1133	loeys-dietz	613795
NBK1133	loeys-dietz	614816
NBK1135	glc	231300
NBK1135	glc	600975
NBK1135	glc	601771
NBK1135	glc	602091
NBK1135	glc	613085
NBK1135	glc	613086
NBK1136	gan	256850
NBK1136	gan	605379
NBK1137	cherubism	118400
NBK1137	cherubism	602104
NBK1139	hgc	137215
NBK1139	hgc	192090
NBK1140	sca6	183086
NBK1140	sca6	601011
NBK1141	neuroferritin	134790
NBK1141	neuroferritin	606159
NBK1142	epm1	254800
NBK1142	epm1	601145
NBK1143	slo	270400
NBK1143	slo	602858
NBK1144	angelman	105830
NBK1144	angelman	601623
NBK1145	sedt	300202
NBK1145	sedt	313400
NBK1146	mhs	114208
NBK1146	mhs	145600
NBK1146	mhs	154275
NBK1146	mhs	154276
NBK1146	mhs	180901
NBK1146	mhs	600467
NBK1146	mhs	601887
NBK1146	mhs	601888
NBK1147	fevr	133780
NBK1147	fevr	601813
NBK1147	fevr	603506
NBK1147	fevr	604579
NBK1147	fevr	605750
NBK1147	fevr	613138
NBK1147	fevr	613310
NBK1148	ptt	176930
NBK1148	ptt	188050
NBK1149	lns	300322
NBK1149	lns	308000
NBK1150	hops	146300
NBK1150	hops	171760
NBK1150	hops	241500
NBK1150	hops	241510
NBK1151	bcns	109400
NBK1151	bcns	601309
NBK1152	achondroplasia	100800
NBK1152	achondroplasia	134934
NBK1153	rbs	268300
NBK1153	rbs	269000
NBK1153	rbs	609353
NBK1154	aoa2	606002
NBK1154	aoa2	608465
NBK1156	ced	131300
NBK1156	ced	190180
NBK1157	eb-pa	147556
NBK1157	eb-pa	147557
NBK1157	eb-pa	226730
NBK1157	eb-pa	601282
NBK1158	del2q37_2	600430
NBK1158	del2q37_2	605314
NBK1159	arg1	207800
NBK1159	arg1	608313
NBK1160	spg4	182601
NBK1160	spg4	604277
NBK1161	alzheimer	104300
NBK1161	alzheimer	602096
NBK1161	alzheimer	606889
NBK1161	alzheimer	607822
NBK1162	mps1	252800
NBK1162	mps1	607014
NBK1162	mps1	607015
NBK1162	mps1	607016
NBK1163	etha	133020
NBK1163	etha	603415
NBK1164	sft	269921
NBK1164	sft	603824
NBK1165	myotonic-d	160900
NBK1165	myotonic-d	605377
NBK1166	oca1	203100
NBK1166	oca1	606933
NBK1166	oca1	606952
NBK1167	bvd	153700
NBK1167	bvd	607854
NBK1168	cms	100690
NBK1168	cms	100710
NBK1168	cms	100720
NBK1168	cms	100725
NBK1168	cms	103320
NBK1168	cms	118490
NBK1168	cms	138292
NBK1168	cms	254210
NBK1168	cms	254300
NBK1168	cms	601296
NBK1168	cms	601462
NBK1168	cms	601592
NBK1168	cms	603033
NBK1168	cms	603967
NBK1168	cms	608931
NBK1168	cms	610285
NBK1168	cms	615120
NBK1169	adnfle	118502
NBK1169	adnfle	118504
NBK1169	adnfle	118507
NBK1169	adnfle	122560
NBK1169	adnfle	600513
NBK1169	adnfle	603204
NBK1169	adnfle	605375
NBK1169	adnfle	610353
NBK1170	jh	602390
NBK1170	jh	606464
NBK1170	jh	608374
NBK1170	jh	613313
NBK1171	cah	201910
NBK1171	cah	613815
NBK1172	alexander	137780
NBK1172	alexander	203450
NBK1173	narp	161700
NBK1173	narp	256000
NBK1173	narp	516000
NBK1173	narp	516001
NBK1173	narp	516002
NBK1173	narp	516003
NBK1173	narp	516005
NBK1173	narp	516006
NBK1173	narp	516050
NBK1173	narp	516060
NBK1173	narp	551500
NBK1173	narp	590050
NBK1173	narp	590060
NBK1173	narp	590095
NBK1173	narp	590105
NBK1174	lhon	516000
NBK1174	lhon	516001
NBK1174	lhon	516003
NBK1174	lhon	516004
NBK1174	lhon	516005
NBK1174	lhon	516006
NBK1174	lhon	516020
NBK1174	lhon	516050
NBK1174	lhon	516060
NBK1174	lhon	535000
NBK1175	sca10	603516
NBK1175	sca10	611150
NBK1176	nijmegen	251260
NBK1176	nijmegen	602667
NBK1177	ndi	107777
NBK1177	ndi	125800
NBK1177	ndi	300538
NBK1177	ndi	304800
NBK1178	was	300299
NBK1178	was	300392
NBK1178	was	301000
NBK1178	was	313900
NBK1179	mngie	131222
NBK1179	mngie	603041
NBK1180	fd	223900
NBK1180	fd	603722
NBK1181	citrin	603471
NBK1181	citrin	603859
NBK1181	citrin	605814
NBK1182	pmd	300401
NBK1182	pmd	312080
NBK1182	pmd	312920
NBK1183	whs	194190
NBK1183	whs	602952
NBK1184	sca1	164400
NBK1184	sca1	601556
NBK1185	dcx	300067
NBK1185	dcx	300121
NBK1186	cfc	115150
NBK1186	cfc	164757
NBK1186	cfc	176872
NBK1186	cfc	190070
NBK1186	cfc	601263
NBK1186	cfc	615278
NBK1186	cfc	615279
NBK1186	cfc	615280
NBK1187	cmt2e	162280
NBK1187	cmt2e	607684
NBK1187	cmt2e	607734
NBK1188	ofd1	300170
NBK1188	ofd1	311200
NBK1189	scs	101400
NBK1189	scs	601622
NBK1190	duane	118423
NBK1190	duane	126800
